,Does the sentence describe a personal reflection or thought?,Does the sentence contain a proper noun?,Does the sentence describe a physical action?,Does the sentence describe a personal or social interaction that leads to a change or revelation?,Does the sentence involve the mention of a specific object or item?,Does the sentence involve a description of physical environment or setting?,Does the sentence describe a relationship between people?,Does the sentence mention a specific location?,Is time mentioned in the input?,Is the sentence abstract rather than concrete?,Does the sentence express the narrator's opinion or judgment about an event or character?,Is the input related to a specific industry or profession?,Does the sentence include dialogue?,Does the sentence describe a visual experience or scene?,Does the input involve planning or organizing?,Does the sentence involve spatial reasoning?,Does the sentence involve an expression of personal values or beliefs?,Does the sentence contain a negation?,Does the sentence describe a sensory experience?,Does the sentence include technical or specialized terminology?,Does the input contain a number?,Does the sentence contain a cultural reference?,Does the text describe a mode of communication?,Does the input include a comparison or metaphor?,Does the sentence express a sense of belonging or connection to a place or community?,Does the sentence describe a specific sensation or feeling?,Does the text include a planning or decision-making process?,Does the sentence include a personal anecdote or story?,Does the sentence involve a discussion about personal or social values?,Does the text describe a journey?,Does the input contain a measurement?,Does the sentence describe a physical sensation?,Does the sentence include a direct speech quotation?,"Is the sentence reflective, involving self-analysis or introspection?",Does the input describe a specific texture or sensation?
amazing just to be to be like a monkey I I I was,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
amazing just to be to be like a monkey I I I was a,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
to be to be like a monkey I I I was a monkey,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
be like a monkey I I I was a monkey honestly,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
monkey I I I was a monkey honestly I,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
monkey I I I was a monkey honestly I I,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
I I I was a monkey honestly I I had,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
I I was a monkey honestly I I had I,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
I was a monkey honestly I I had I met,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
was a monkey honestly I I had I met monkeys,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
monkey honestly I I had I met monkeys before,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
monkey honestly I I had I met monkeys before like,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
honestly I I had I met monkeys before like I,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
honestly I I had I met monkeys before like I said,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
I I had I met monkeys before like I said mean,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
I I had I met monkeys before like I said mean all,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
I I had I met monkeys before like I said mean all over,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
I I had I met monkeys before like I said mean all over the,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
I I had I met monkeys before like I said mean all over the world,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
monkeys before like I said mean all over the world And,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
monkeys before like I said mean all over the world And uh,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
monkeys before like I said mean all over the world And uh you,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
